exp_name,date,refreshrate(hz),screenresolutionvert(pixels),screenresolutionhori(pixels),screenwidth(cm),eccentricity,Stim_size,left-handed,age,gender,participant,language,TrialNumber,bgori,temp,staircase,targetloc,cond,ran,order,resp,rt,acc,contrast
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,29,0,0,2,0,2,1.0,28.0,0.0,0.740306,1.0,0.17177383828087872
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,30,0,0,1,1,2,1.0,29.0,1.0,0.9050274,1.0,0.07333807611669522
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,31,0,0,1,0,2,1.0,30.0,0.0,0.7262194,1.0,0.06911010412134794
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,32,0,0,1,0,2,1.0,31.0,1.0,0.7716727,0.0,0.0651258765509975
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,33,0,0,1,0,2,1.0,32.0,0.0,0.8733532,1.0,0.0778247041713946
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,34,0,0,1,1,2,1.0,33.0,1.0,0.950305,1.0,0.07480411710528782
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,35,0,0,1,1,2,1.0,34.0,1.0,0.7039977,1.0,0.07333807611669522
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,36,0,0,2,0,2,1.0,35.0,1.0,0.8411181,0.0,0.16840734593483328
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,37,0,0,2,0,2,1.0,36.0,0.0,3.9820662,1.0,0.18592636312377486
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,38,0,0,2,1,2,1.0,37.0,1.0,0.9225512,1.0,0.18228250393864812
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,39,0,0,2,0,2,1.0,38.0,0.0,0.8654885,1.0,0.17871005856239663
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,40,0,0,1,1,2,1.0,39.0,1.0,0.5138236,1.0,0.07049162720911727
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,41,0,0,1,0,2,1.0,40.0,0.0,0.6280576,1.0,0.06775565667529103
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,42,0,0,1,1,2,1.0,41.0,1.0,0.8658779,1.0,0.06384951358948564
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,43,0,0,1,0,2,1.0,42.0,1.0,0.854793,0.0,0.06137134143349693
Contrast Stuff,2022_Oct_14_1328,100,1200,1920,49,2,1.5,True,54,male,Ph,fr,44,0,0,1,0,2,1.0,43.0,0.0,0.6477552,1.0,0.07049162720911727
